Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY NEXT 50","27,653.70","27,659.85","27,391.65","27,514.85","-192.70","-0.70","1,123.17","3,069.10","31,700.55","25,040.45","-13.19","0.27"
"DABUR","422.35","435.30","420.80","433.40","11.75","2.79","31.45","134.73","490.65","311.95","20.42","0.66"
"PIDILITIND","1,114.90","1,140.75","1,100.00","1,136.75","27.50","2.48","10.02","112.59","1,211.45","845.05","26.37","-1.34"
"CADILAHC","350.25","355.90","349.60","354.80","6.50","1.87","16.72","59.07","451.30","332.25","-20.25","0.54"
"INDIGO","1,058.00","1,086.00","1,052.55","1,076.00","18.55","1.75","5.68","60.93","1,520.00","691.00","-12.92","5.08"
"AMBUJACEM","213.00","215.30","211.55","215.05","2.20","1.03","12.31","26.33","280.00","188.35","-20.86","-0.42"
"CONCOR","678.55","686.35","665.15","685.00","6.45","0.95","17.31","116.24","750.00","542.00","-51.97","4.99"
"MCDOWELL-N","589.00","599.50","586.60","596.50","4.90","0.83","9.25","55.07","779.34","438.20","-84.42","-6.92"
"BRITANNIA","3,102.00","3,124.00","3,063.00","3,114.00","17.15","0.55","1.55","47.97","3,467.18","2,200.00","-34.05","1.88"
"BIOCON","645.00","647.75","638.25","646.00","3.50","0.54","18.57","119.72","718.00","525.25","18.26","1.14"
"MOTHERSUMI","161.20","162.30","158.50","162.00","0.80","0.50","15.07","24.16","260.03","140.50","-58.00","3.48"
"AUROPHARMA","769.95","778.90","765.60","771.85","2.00","0.26","17.89","138.27","830.45","527.00","14.42","4.30"
"PETRONET","216.40","218.35","214.30","217.25","0.55","0.25","16.39","35.41","259.45","202.05","-12.91","2.33"
"MARICO","382.00","383.60","375.50","382.30","0.85","0.22","10.27","39.02","396.60","282.95","20.87","2.58"
"NIACL","180.00","181.00","178.55","180.00","0.35","0.19","0.29","0.52","382.43","171.20","-71.49","-9.27"
"HAVELLS","686.00","690.55","683.45","689.00","0.95","0.14","5.16","35.42","728.75","450.00","25.55","-2.24"
"PGHH","9,998.50","10,010.00","9,899.95","10,000.00","1.50","0.02","0.03","2.71","11,337.00","8,800.00","7.61","3.37"
"ACC","1,461.90","1,465.20","1,447.05","1,458.80","0.15","0.01","3.27","47.64","1,857.45","1,255.65","-19.05","-1.78"
"NMDC","92.65","92.85","91.55","92.05","-0.15","-0.16","41.37","38.19","158.45","88.60","-40.75","-1.97"
"GODREJCP","783.95","783.95","772.40","777.00","-1.95","-0.25","4.46","34.63","978.67","643.75","-21.12","0.15"
"DLF","182.30","182.30","178.20","181.70","-0.45","-0.25","37.41","67.51","273.85","142.00","-32.83","1.37"
"BANKBARODA","120.95","123.10","120.10","120.70","-0.45","-0.37","136.56","165.68","179.70","91.00","-26.09","6.44"
"NHPC","25.50","25.60","25.30","25.40","-0.10","-0.39","22.20","5.65","32.75","22.10","-21.24","-2.68"
"OFSS","3,648.00","3,648.00","3,588.10","3,620.00","-17.35","-0.48","0.08","2.98","4,658.40","3,321.35","-12.72","-0.51"
"SIEMENS","1,052.10","1,065.45","1,039.80","1,052.00","-5.85","-0.55","3.11","32.80","1,336.00","850.25","-18.74","9.31"
"ABCAPITAL","96.25","96.80","95.70","95.85","-0.60","-0.62","6.61","6.36","188.00","90.55","-48.19","-2.44"
"LUPIN","837.80","840.95","828.50","833.60","-5.75","-0.69","9.22","77.04","986.10","723.65","-10.29","1.45"
"BEL","91.90","92.55","89.70","91.40","-0.65","-0.71","53.11","48.38","181.00","74.25","-48.94","13.97"
"MRF","66,600.00","66,996.95","65,955.90","66,455.05","-482.20","-0.72","0.05","33.53","81,425.95","59,601.00","-8.10","-2.48"
"ASHOKLEY","94.30","94.30","92.70","93.55","-0.75","-0.80","128.55","119.97","167.50","92.45","-26.37","-11.03"
"OIL","173.80","174.40","172.30","173.10","-1.45","-0.83","3.17","5.49","259.00","168.55","-54.82","-0.92"
"HINDZINC","273.00","274.30","270.40","271.00","-2.50","-0.91","1.41","3.85","340.20","259.40","-15.23","-1.42"
"BHEL","68.75","68.75","67.50","67.80","-0.75","-1.09","47.35","32.18","107.95","61.70","-34.49","2.19"
"COLPAL","1,320.05","1,320.05","1,302.15","1,304.95","-14.50","-1.10","3.85","50.31","1,354.80","1,018.30","15.99","2.51"
"LICHSGFIN","482.50","484.30","475.20","477.55","-6.55","-1.35","8.89","42.60","583.80","387.60","-16.04","6.41"
"GICRE","262.00","262.00","258.00","258.00","-4.15","-1.58","0.25","0.66","404.75","247.10","-66.51","-6.84"
"PEL","2,296.75","2,296.75","2,250.00","2,260.00","-36.85","-1.60","2.77","62.74","3,307.95","1,794.90","-20.98","5.27"
"SRTRANSFIN","1,190.80","1,191.05","1,144.75","1,169.10","-20.60","-1.73","5.54","64.98","1,668.75","902.30","-22.31","1.19"
"ICICIPRULI","354.55","354.95","346.65","349.95","-6.60","-1.85","8.10","28.34","462.20","301.20","-13.94","11.59"
"SUNTV","588.90","590.85","576.00","577.00","-11.90","-2.02","8.53","49.57","1,097.80","552.85","-44.71","1.80"
"BOSCHLTD","19,470.00","19,470.00","19,029.80","19,080.40","-437.40","-2.24","0.19","35.81","22,400.00","16,975.00","-4.38","-0.48"
"ICICIGI","879.00","883.20","857.05","865.00","-20.00","-2.26","1.95","17.00","932.40","638.80","9.46","-5.95"
"BANDHANBNK","453.60","455.80","437.45","443.00","-11.40","-2.51","18.03","80.13","741.80","368.10","-","-"
"SHREECEM","16,080.00","16,080.00","15,401.35","15,499.00","-414.20","-2.60","0.43","66.89","19,848.90","13,100.00","-20.66","-6.74"
"SBILIFE","633.00","636.65","618.25","620.00","-18.50","-2.90","3.66","22.73","774.60","485.00","-11.91","8.72"
"IDEA","37.00","37.00","35.60","35.80","-1.10","-2.98","105.58","38.26","110.05","32.00","-66.59","3.32"
"ABB","1,350.00","1,357.40","1,301.10","1,303.90","-41.70","-3.10","1.09","14.42","1,749.20","1,129.00","-6.84","-8.81"
"SAIL","52.30","52.30","50.40","50.50","-1.70","-3.26","115.01","58.56","101.10","49.00","-48.73","-3.53"
"L&TFH","140.95","140.95","135.00","136.40","-5.10","-3.60","107.50","146.70","189.50","110.65","-24.93","-5.21"
"HDFCLIFE","405.05","405.05","390.25","391.40","-15.20","-3.74","9.29","36.56","548.25","355.00","-12.38","-0.48"
"DMART","1,440.00","1,473.80","1,388.00","1,394.00","-177.65","-11.30","36.62","522.80","1,698.70","1,060.10","11.92","-10.63"

